ref	commit	lean_source_count
refs/remotes/upstream/agent/amari-zorn-commutator-bridge	8cd3e260a44326d0ecb286d86c8da8f132fdb397	15657
refs/remotes/upstream/agent/arnold-kohno-flat-connection	fd5064db75a5bf0ed214708eb07264bcdcf6ef50	20320
refs/remotes/upstream/agent/braid-three-presented-representation	364a6ca94f86e0a5bee21c85ffec72d90bcaafcd	19769
refs/remotes/upstream/agent/circular-operator-eight-bridge	37bebe5a570cf9017e5f9baab57436e7f315edd9	20320
refs/remotes/upstream/agent/cl11-geometric-compass	b1b282db38bb776a695f541ad0372501721add1e	19768
refs/remotes/upstream/agent/cl55-dyadic-morita-bridge	8610b45b6ca5adac5684174af21e08511b3cdd74	20321
refs/remotes/upstream/agent/cl55-rope-split-torus	38c3bf895ccaa5fc200a05566ffee133ed06ccfd	20322
refs/remotes/upstream/agent/core-peirce-decomposition	f46704bc1849d75c6e1a946e4beb1ce17f225fa9	19770
refs/remotes/upstream/agent/doubled-matrix-clock-bridge	8a4531fc2820bd378d4996bca0ae8ee7b4df9319	19707
refs/remotes/upstream/agent/exact-sequence-audit-capstone	49ee4b19c928758fab390a6df15589724cca2285	19768
refs/remotes/upstream/agent/fibonacci-braid-group3-representation	4f232b0a652844b736fe14b3e26641d5817d75fa	19768
refs/remotes/upstream/agent/foundations-kernel-audit	079fc6ff9417ad0776ee44000c1e67c2cbadcba3	19768
refs/remotes/upstream/agent/freudenthal-fivegrade-mixed-jacobi	2613ed03a87e3e9dab2ec7eef4f9b30a55ff600e	20453
refs/remotes/upstream/agent/g2-artin-longest-bridge	cdf106c47ba846029bb2a2a33e3828875030f9d5	19768
refs/remotes/upstream/agent/g2-bn-bruhat-exhaustion	e2cdbf3b45260d8220ac35a349d714bc0d8043e1	19767
refs/remotes/upstream/agent/g2-bn-bruhat-exhaustion-v2	fb2afde8da25899b7f0fa5515d2a01d1ea2909c0	19769
refs/remotes/upstream/agent/g2-bruhat-inversions	7743a66e2372b02df302f8b522b76884c88fc487	19768
refs/remotes/upstream/agent/g2-bruhat-pc-invariance	7c2809c433a41810a416dc5561577b9cb068d5d2	19768
refs/remotes/upstream/agent/g2-factorization-recursion-repair	844ae86884b84bb11415b2a7c9c6e5a133ac1f5d	20091
refs/remotes/upstream/agent/g2-flag-cell-carrier-alignment	caa7426db84c42c9eec5e6df4ec62601849cfd10	19768
refs/remotes/upstream/agent/g2-generated-bruhat-exhaustion	6b59aa6f7a320a836893bddf839a3680131fba22	19769
refs/remotes/upstream/agent/g2-last-bit-closure	2b1d87143e277b5a202f87c981c089fb521a843e	20266
refs/remotes/upstream/agent/g2-native-root-index-alignment	9e9667898f0418062d222da9fcafc9d6826c58a1	19994
refs/remotes/upstream/agent/g2-quotient-representative-coverage	3179c9ebe2fa472d1119f33018b10c1c31fe3fd1	19768
refs/remotes/upstream/agent/g2-short2-pc-conjugation	1ee229d658f9939db8a067b7bacbe274baf05df8	19553
refs/remotes/upstream/agent/graded-bath-commutant	bae1071acd43281d983452206c87788da89eebb6	19768
refs/remotes/upstream/agent/graded-bath-commutant-v2	29fc861ca9b9175dbfe8c65bcb4f20e06622c832	19768
refs/remotes/upstream/agent/idempotent-corner-commutant	791d786baa3d83ae7710fb0f2ab29261d0d6c7e4	19708
refs/remotes/upstream/agent/jordan-associator	c9dc9d541392fa404b47d34d71452a63c1fd39ac	19770
refs/remotes/upstream/agent/mobius-klein-statistical-zorn	63749f0e6e457d5ce332b5c0d85532776d11b397	15654
refs/remotes/upstream/agent/mobius-validation-4281-base	bb69be43538fc0705e308ea3f23a7cc99836be52	15654
refs/remotes/upstream/agent/mobius-validation-4281-head	64b05a2fac1a002035edd38c4154e7b7af8f46b1	15654
refs/remotes/upstream/agent/mobius-validation-base	ba38498a736ba4d030d73141aa7605c78ed3e7be	15654
refs/remotes/upstream/agent/mobius-validation-head	1901d262d094a63726d80b8a6f8ba9bde5301933	15654
refs/remotes/upstream/agent/native-gauss-jordan	e62f14790448d6abce7e64a33fb0a06b1e5ccc3f	4036
refs/remotes/upstream/agent/nonassoc-derivation-kernel	1c9296db2ec1f4f97853e0304599ad9e53b68fa5	19768
refs/remotes/upstream/agent/nuclear-graded-bath-commutant	a4a2134419be03108aaffa071c4d78d9d4465fc7	19769
refs/remotes/upstream/agent/parafermionic-four-vector	14a464b09f97523a6da870ee63e9e208e2b73272	19768
refs/remotes/upstream/agent/polarized-braid-fibration	34094d2c1edfd4126f0b79df9fce7f8826524a8e	19769
refs/remotes/upstream/agent/polarized-braid-pair	6d29456d60bbb34fc0139ae91d6678ead2969a6b	19768
refs/remotes/upstream/agent/prime-galois-directed-certificate	945e9a49c0c31ee8fdcdb4042916192006ec3c02	20317
refs/remotes/upstream/agent/scale-topology-shape-datum	08974ba677f93f3eeb5324627b05e09a20266cd0	19768
refs/remotes/upstream/agent/soloviev-qpnm-spectral-closure	1b9f9e59989d84bc84bdb1c90a40bd61c7bb863b	20324
refs/remotes/upstream/agent/split-octonion-derivation-exponential	a4f1f9c81ed3d1b36b311df285c442e87a178060	19769
refs/remotes/upstream/agent/topological-progress-principle	39abf7b6920920723be19d2fa8af0c632bc83b21	20091
refs/remotes/upstream/agent/trifactor-readout-contract	306c9ddbea9b2cd4ca8a7328695a4d9a7498d634	20267
refs/remotes/upstream/agent/two-sided-fibonacci-braid	5c891f3fdcc51ed33ce510f359e37a5755334315	19768
refs/remotes/upstream/agent/zorn-native-bdg-compatibility	21bd34d088e1b7dbdfe0962e3ec0d15e13688a13	19768
refs/remotes/upstream/apollonius-lambda-dag-topological-closure	ce2c52813f16b860fa16b0534bafa3b6b7e7f566	21082
refs/remotes/upstream/apollonius-operator-connection-native	874472f609641bcc62c5476cda5e973088ac6723	21380
refs/remotes/upstream/berezinian-gaussian-factorization	77fad7c7eb45b06639548599132c37ef67eb70a2	21328
refs/remotes/upstream/berezinian-super-barrier-bridge	a45b76646e5594f52725e1344b4af1645eddf047	21299
refs/remotes/upstream/bipolar-cayley-klein-cochain-separation	58ad4742dc22cd05dcb7b289fa9f01b707431532	21386
refs/remotes/upstream/bipolar-crossratio-log-sl2	1234190ece109cbd4a98b6e60abcbb043351a6b4	21378
refs/remotes/upstream/bipolar-uniformization-barrier-spinoriality	7007e0312d1c0f6ad002aa9dc50729921f65fc05	21384
