theta,unregulated_barrier,sber_style_barrier
0.000000000000000000e+00,3.453877639491068408e+01,6.931471805599633829e-01
1.259155372180277739e-02,8.739590183739871065e+00,9.245124549664642810e-01
2.518310744360555478e-02,7.353692226304309187e+00,1.122442276829894281e+00
3.777466116540833391e-02,6.543422777902295095e+00,1.289658894179825488e+00
5.036621488721110956e-02,5.968983907582638082e+00,1.428164601631860986e+00
6.295776860901389216e-02,5.523886786229916801e+00,1.539787894021684922e+00
7.554932233081666781e-02,5.160698618048487063e+00,1.626507638639757225e+00
8.814087605261944347e-02,4.854117483186112025e+00,1.690590332618021385e+00
1.007324297744222191e-01,4.589040575552577828e+00,1.734578724963937724e+00
1.133239834962249948e-01,4.355726466735134750e+00,1.761183716215214634e+00
1.259155372180277843e-01,4.147523973975853373e+00,1.773136263919042888e+00
1.385070909398305461e-01,3.959689279868235268e+00,1.773046336887822205e+00
1.510986446616333356e-01,3.788719929571309653e+00,1.763297128949913306e+00
1.636901983834360974e-01,3.631956328403057821e+00,1.745983641091453986e+00
1.762817521052388869e-01,3.487331342966978998e+00,1.722891378921543426e+00
1.888733058270416487e-01,3.353206500515279131e+00,1.695504641297122417e+00
2.014648595488444383e-01,3.228261161096558141e+00,1.665032986495198264e+00
2.140564132706472278e-01,3.111415348109803247e+00,1.632446432877082687e+00
2.266479669924499896e-01,3.001774670227416841e+00,1.598512795361200389e+00
2.392395207142527791e-01,2.898590155128187185e+00,1.563833169962976832e+00
2.518310744360555686e-01,2.801228398379693285e+00,1.528873542213578407e+00
2.644226281578583304e-01,2.709149003459313310e+00,1.493991788338790316e+00
2.770141818796610922e-01,2.621887275189510369e+00,1.459460096207574775e+00
2.896057356014638540e-01,2.539040763826272418e+00,1.425483220702093323e+00
3.021972893232666713e-01,2.460258675485392565e+00,1.392213144133787939e+00
3.147888430450694330e-01,2.385233446194725104e+00,1.359760736391355751e+00
3.273803967668721948e-01,2.313693969995407329e+00,1.328204966457867009e+00
3.399719504886750121e-01,2.245400106270940999e+00,1.297600145670986471e+00
3.525635042104777739e-01,2.180138186991343208e+00,1.267981605238859721e+00
3.651550579322805357e-01,2.117717313229617204e+00,1.239370136978667158e+00
3.777466116540832974e-01,2.057966280336899878e+00,1.211775461701114498e+00
3.903381653758861147e-01,2.000731008057249127e+00,1.185198935411518439e+00
4.029297190976888765e-01,1.945872379379632866e+00,1.159635659123583240e+00
4.155212728194916383e-01,1.893264412662645002e+00,1.135076122433229306e+00
4.281128265412944556e-01,1.842792707349546255e+00,1.111507482703615324e+00
4.407043802630972174e-01,1.794353115711306179e+00,1.088914559432363038e+00
4.532959339848999791e-01,1.747850602442559076e+00,1.067280605921160141e+00
4.658874877067027409e-01,1.703198261264108559e+00,1.046587906744495644e+00
4.784790414285055582e-01,1.660316463450253188e+00,1.026818238898498992e+00
4.910705951503083200e-01,1.619132117765665235e+00,1.007953226245331235e+00
5.036621488721111373e-01,1.579578024937995373e+00,9.899746104330602314e-01
5.162537025939138990e-01,1.541592312714560986e+00,9.728644564575578135e-01
5.288452563157166608e-01,1.505117939910487257e+00,9.566053071236749750e-01
5.414368100375194226e-01,1.470102259770877939e+00,9.411802976108120111e-01
5.540283637593221844e-01,1.436496634532908212e+00,9.265732389616951892e-01
5.666199174811249462e-01,1.404256094356444828e+00,9.127686774445428197e-01
5.792114712029277079e-01,1.373339034849424989e+00,8.997519352732943343e-01
5.918030249247305807e-01,1.343706948290505299e+00,8.875091370194231333e-01
6.043945786465333425e-01,1.315324184380789685e+00,8.760272251433346424e-01
6.169861323683361043e-01,1.288157736966181854e+00,8.652939673601460768e-01
6.295776860901388661e-01,1.262177053683894989e+00,8.552979579922788123e-01
6.421692398119416278e-01,1.237353865918402018e+00,8.460286150175601039e-01
6.547607935337443896e-01,1.213662036817806600e+00,8.374761741713041552e-01
6.673523472555471514e-01,1.191077425432644388e+00,8.296316811844238748e-01
6.799439009773500242e-01,1.169577765304880668e+00,8.224869830217661493e-01
6.925354546991527860e-01,1.149142556062946685e+00,8.160347188134149388e-01
7.051270084209555478e-01,1.129752966775357859e+00,8.102683110373458675e-01
7.177185621427583095e-01,1.111391749985970456e+00,8.051819574070468999e-01
7.303101158645610713e-01,1.094043165502587067e+00,8.007706238367577889e-01
7.429016695863638331e-01,1.077692913140992470e+00,7.970300387952536925e-01
7.554932233081665949e-01,1.062328073741716228e+00,7.939566893130207692e-01
7.680847770299694677e-01,1.047937057879344103e+00,7.915478188744252686e-01
7.806763307517722295e-01,1.034509561776364883e+00,7.898014274039232285e-01
7.932678844735749912e-01,1.022036530017171430e+00,7.887162735417823090e-01
8.058594381953777530e-01,1.010510124734679493e+00,7.882918793989777129e-01
8.184509919171805148e-01,9.999237010135346715e-01,7.885285379819085838e-01
8.310425456389832766e-01,9.902717883214352534e-01,7.894273234847467569e-01
8.436340993607860383e-01,9.815500778449832708e-01,7.909901046601899299e-01
8.562256530825889111e-01,9.737554156698375873e-01,7.932195614979210552e-01
8.688172068043916729e-01,9.668858018080122019e-01,7.961192054642278748e-01
8.814087605261944347e-01,9.609403951390858012e-01,7.996934035862132140e-01
8.940003142479971965e-01,9.559195243980834755e-01,8.039474067001639579e-01
9.065918679697999583e-01,9.518247054121771189e-01,8.088873822266196001e-01
9.191834216916027200e-01,9.486586648625028317e-01,8.145204518851837383e-01
9.317749754134054818e-01,9.464253709279027982e-01,8.208547348212457129e-01
9.443665291352083546e-01,9.451300712560507522e-01,8.278993966858042564e-01
9.569580828570111164e-01,9.447793388062568631e-01,8.356647052900956218e-01
9.695496365788138782e-01,9.453811262196711862e-01,8.441620935507269108e-01
9.821411903006166400e-01,9.469448294995017612e-01,8.534042305509328408e-01
9.947327440224194017e-01,9.494813619295968676e-01,8.634051016723843786e-01
1.007324297744222275e+00,9.530032393284513237e-01,8.741800989033409186e-01
1.019915851466024925e+00,9.575246779323551838e-01,8.857461226073453098e-01
1.032507405187827798e+00,9.630617064321604914e-01,8.981216962476999965e-01
1.045098958909630449e+00,9.696322939604415936e-01,9.113270958134019883e-01
1.057690512631433322e+00,9.772564961490788349e-01,9.253844959906893930e-01
1.070282066353235972e+00,9.859566217629976981e-01,9.403181354813766601e-01
1.082873620075038845e+00,9.957574228785653903e-01,9.561545042981213216e-01
1.095465173796841718e+00,1.006686312133211914e+00,9.729225563843932889e-01
1.108056727518644369e+00,1.018773611249497169e+00,9.906539515344834346e-01
1.120648281240447242e+00,1.032052835861557272e+00,1.009383331353368218e+00
1.133239834962249892e+00,1.046561022682744202e+00,1.029148634932360418e+00
1.145831388684052765e+00,1.062339106299265756e+00,1.049991461068817244e+00
1.158422942405855416e+00,1.079432354419596951e+00,1.071957485284714240e+00
1.171014496127658289e+00,1.097890872336946710e+00,1.095096941675399282e+00
1.183606049849461161e+00,1.117770189782469004e+00,1.119465181845958446e+00
1.196197603571263812e+00,1.139131946407072160e+00,1.145123326000780484e+00
1.208789157293066685e+00,1.162044696026669710e+00,1.172139024819042419e+00
1.221380711014869336e+00,1.186584854766473907e+00,1.200587355314008065e+00
1.233972264736672209e+00,1.212837824709437795e+00,1.230551879762886713e+00
1.246563818458474859e+00,1.240899333096282753e+00,1.262125904454576508e+00
1.259155372180277732e+00,1.270877038243892088e+00,1.295413985058426976e+00
