paper,kind,heading,start_line,end_line
10.1103_physrevb.99.201103.pdf,Criterion,criterion for,23,105
10.1103_physrevb.99.201103.pdf,Criterion,Criterion for,333,335
10.1103_physrevb.99.201103.pdf,Criterion,"criterion 11, topological",420,423
10.1103_physrevb.99.201103.pdf,Criterion,Criterion 11 or,424,487
10.1103_physrevx.8.031079.pdf,Theorem,Theorem 1 For,1671,1864
10.1103_physrevx.8.031079.pdf,Theorem,Theorem 2 Given,3519,3546
10.1103_physrevx.8.031079.pdf,Theorem,theorem proved,3704,3713
10.1103_physrevx.9.041015.pdf,Theorem,Theorem 1 (unitary,1047,1050
10.1103_physrevx.9.041015.pdf,Theorem,Theorem 1 reduces,1051,1183
10.1103_physrevx.9.041015.pdf,Theorem,Theorem 2 also,1184,1218
10.1103_physrevx.9.041015.pdf,Theorem,Theorem 2 (Hermitian,1225,1235
