score10	date	path	module	total_importers	canonical_importers	in_canonical_all	days_stale
0114	2026-02-22	lean/InfoGeometry/Core/SymmetricLieGeneric.lean	InfoGeometry.Core.SymmetricLieGeneric	3	2	1	13
0105	2026-02-22	lean/InfoGeometry/Core/UnifiedGeometry.lean	InfoGeometry.Core.UnifiedGeometry	2	1	1	13
0103	2026-02-21	lean/InfoGeometry/Core/SymmetricSpaces.lean	InfoGeometry.Core.SymmetricSpaces	1	1	1	14
0103	2026-02-21	lean/InfoGeometry/Core/Jordan.lean	InfoGeometry.Core.Jordan	1	1	1	14
0103	2026-02-21	lean/InfoGeometry/Core/DerivativesSmoke.lean	InfoGeometry.Core.DerivativesSmoke	1	1	1	14
0102	2026-02-22	lean/InfoGeometry/Core/SymmetricLie.lean	InfoGeometry.Core.SymmetricLie	1	1	1	13
0098	2026-02-25	lean/InfoGeometry/Assumptions/ManifoldHomology.lean	InfoGeometry.Assumptions.ManifoldHomology	4	1	0	10
0095	2026-02-25	lean/InfoGeometry/Clifford/Cl11.lean	InfoGeometry.Clifford.Cl11	9	3	0	10
0095	2026-02-25	lean/InfoGeometry/Assumptions/LLN.lean	InfoGeometry.Assumptions.LLN	3	1	0	10
0095	2026-02-25	lean/InfoGeometry/Assumptions/IB.lean	InfoGeometry.Assumptions.IB	3	1	0	10
0093	2026-02-22	lean/InfoGeometry/Convex/Bregman.lean	InfoGeometry.Convex.Bregman	8	1	0	13
0092	2026-02-22	lean/InfoGeometry/Clifford/Grading.lean	InfoGeometry.Clifford.Grading	7	3	0	13
0086	2026-02-25	lean/InfoGeometry/Assumptions/ManifoldDegree.lean	InfoGeometry.Assumptions.ManifoldDegree	2	0	0	10
0086	2026-02-25	lean/InfoGeometry/Assumptions/Determinant.lean	InfoGeometry.Assumptions.Determinant	2	0	0	10
0083	2026-02-25	lean/InfoGeometry/Assumptions/DualConnections.lean	InfoGeometry.Assumptions.DualConnections	1	0	0	10
0083	2026-02-21	lean/InfoGeometry/Core/Involution.lean	InfoGeometry.Core.Involution	3	0	0	14
0080	2026-02-25	lean/InfoGeometry/KL/Finite.lean	InfoGeometry.KL.Finite	6	2	0	10
0079	2026-02-22	lean/InfoGeometry/Core/GrandCanonical.lean	InfoGeometry.Core.GrandCanonical	2	0	0	13
0078	2026-02-22	lean/InfoGeometry/Convex/Legendre.lean	InfoGeometry.Convex.Legendre	3	1	0	13
0077	2026-02-21	lean/InfoGeometry/Core/Entropy.lean	InfoGeometry.Core.Entropy	1	0	0	14
0076	2026-02-21	lean/InfoGeometry/Convex/ProjectiveRays.lean	InfoGeometry.Convex.ProjectiveRays	2	1	0	14
0076	2026-02-21	lean/InfoGeometry/Convex/Duality.lean	InfoGeometry.Convex.Duality	2	1	0	14
0075	2026-02-22	lean/InfoGeometry/Basic.lean	InfoGeometry.Basic	10	2	0	13
0075	2026-02-21	lean/InfoGeometry/Projective/Rays.lean	InfoGeometry.Projective.Rays	5	1	0	14
0075	2026-02-19	lean/InfoGeometry/Convex/RadonHelly.lean	InfoGeometry.Convex.RadonHelly	1	1	0	16
0072	2026-02-22	lean/InfoGeometry/Convex/FenchelConjugate.lean	InfoGeometry.Convex.FenchelConjugate	1	1	0	13
0072	2026-02-21	lean/InfoGeometry/Geometry/LegendreDuality.lean	InfoGeometry.Geometry.LegendreDuality	2	2	0	14
0072	2026-02-21	lean/InfoGeometry/Geometry/DualFlat.lean	InfoGeometry.Geometry.DualFlat	2	2	0	14
0072	2026-02-21	lean/InfoGeometry/Clifford/Relations.lean	InfoGeometry.Clifford.Relations	2	2	0	14
0071	2026-02-25	lean/InfoGeometry/Core.lean	InfoGeometry.Core	3	2	1	10
0071	2026-02-22	lean/InfoGeometry/Projective/LogSum.lean	InfoGeometry.Projective.LogSum	4	1	0	13
0071	2026-02-19	lean/InfoGeometry/Potential/LogPotential.lean	InfoGeometry.Potential.LogPotential	5	0	0	16
0071	2026-02-19	lean/InfoGeometry/MaxEnt/Optimality.lean	InfoGeometry.MaxEnt.Optimality	3	1	0	16
0069	2026-02-21	lean/InfoGeometry/Thermo/Gibbs.lean	InfoGeometry.Thermo.Gibbs	3	1	0	14
0069	2026-02-21	lean/InfoGeometry/Projective/ProjectiveMap.lean	InfoGeometry.Projective.ProjectiveMap	3	1	0	14
0069	2026-02-21	lean/InfoGeometry/MaxEnt/Core.lean	InfoGeometry.MaxEnt.Core	3	1	0	14
0066	2026-02-21	lean/InfoGeometry/Thermo/FiniteDiagonal.lean	InfoGeometry.Thermo.FiniteDiagonal	2	1	0	14
0066	2026-02-21	lean/InfoGeometry/Jordan/Core.lean	InfoGeometry.Jordan.Core	2	1	0	14
0065	2026-02-22	lean/InfoGeometry/Potential/Thermo.lean	InfoGeometry.Potential.Thermo	2	1	0	13
0065	2026-02-22	lean/InfoGeometry/Jordan/LogDet.lean	InfoGeometry.Jordan.LogDet	2	1	0	13
0065	2026-02-19	lean/InfoGeometry/MaxEnt/Lagrange.lean	InfoGeometry.MaxEnt.Lagrange	1	1	0	16
0063	2026-02-22	lean/InfoGeometry/Quantum/Fock.lean	InfoGeometry.Quantum.Fock	4	3	0	13
0063	2026-02-21	lean/InfoGeometry/Thermo/ThermodynamicIdentities.lean	InfoGeometry.Thermo.ThermodynamicIdentities	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Thermo/FromLogDet.lean	InfoGeometry.Thermo.FromLogDet	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Thermo/FiniteMatrix.lean	InfoGeometry.Thermo.FiniteMatrix	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Projective/PhysicalKinematics.lean	InfoGeometry.Projective.PhysicalKinematics	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Projective/GaugeQuotient.lean	InfoGeometry.Projective.GaugeQuotient	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/MaxEnt/DualBridge.lean	InfoGeometry.MaxEnt.DualBridge	1	1	0	14
0063	2026-02-21	lean/InfoGeometry/Geometry/KreinAsHessian.lean	InfoGeometry.Geometry.KreinAsHessian	1	1	0	14
0062	2026-02-25	lean/InfoGeometry/Thermo/FromBregman.lean	InfoGeometry.Thermo.FromBregman	2	1	0	10
0062	2026-02-25	lean/InfoGeometry/LLM/PositionalEncoding.lean	InfoGeometry.LLM.PositionalEncoding	2	1	1	10
0062	2026-02-22	lean/InfoGeometry/TransformationGroups.lean	InfoGeometry.TransformationGroups	1	1	1	13
0062	2026-02-22	lean/InfoGeometry/SLT/ConditionalExpectation.lean	InfoGeometry.SLT.ConditionalExpectation	1	1	1	13
0062	2026-02-22	lean/InfoGeometry/MaxEnt/Jaynes.lean	InfoGeometry.MaxEnt.Jaynes	1	1	0	13
0062	2026-02-22	lean/InfoGeometry/Clifford/Supercharge.lean	InfoGeometry.Clifford.Supercharge	1	1	0	13
0062	2026-02-22	lean/InfoGeometry/Clifford/Lift.lean	InfoGeometry.Clifford.Lift	1	1	0	13
0062	2026-02-19	lean/InfoGeometry/Jordan/SPD.lean	InfoGeometry.Jordan.SPD	2	0	0	16
0058	2026-02-21	lean/InfoGeometry/ExponentialFamily/Finite.lean	InfoGeometry.ExponentialFamily.Finite	4	2	0	14
0057	2026-02-21	lean/InfoGeometry/KL/Measure.lean	InfoGeometry.KL.Measure	1	0	0	14
0052	2026-02-21	lean/InfoGeometry/Twistor/NullProjective.lean	InfoGeometry.Twistor.NullProjective	2	2	0	14
0052	2026-02-21	lean/InfoGeometry/Krein/Thermal.lean	InfoGeometry.Krein.Thermal	2	2	0	14
0052	2026-02-21	lean/InfoGeometry/Information/MultiLogPotential.lean	InfoGeometry.Information.MultiLogPotential	2	2	0	14
0051	2026-02-22	lean/InfoGeometry/Thermal/FiniteMatrix.lean	InfoGeometry.Thermal.FiniteMatrix	2	2	0	13
0048	2026-02-25	lean/InfoGeometry/OptimalTransport.lean	InfoGeometry.OptimalTransport	2	2	0	10
0048	2026-02-25	lean/InfoGeometry/ExponentialFamily/Analytic/LogSumExp.lean	InfoGeometry.ExponentialFamily.Analytic.LogSumExp	4	1	0	10
0045	2026-02-25	lean/InfoGeometry/EntropicInference.lean	InfoGeometry.EntropicInference	3	1	0	10
0045	2026-02-22	lean/InfoGeometry/GrandCanonical/Core.lean	InfoGeometry.GrandCanonical.Core	2	1	0	13
0043	2026-02-21	lean/InfoGeometry/Renyi.lean	InfoGeometry.Renyi	1	1	0	14
0043	2026-02-21	lean/InfoGeometry/Cramer.lean	InfoGeometry.Cramer	1	1	0	14
0042	2026-02-25	lean/InfoGeometry/Axioms.lean	InfoGeometry.Axioms	2	1	0	10
0042	2026-02-22	lean/InfoGeometry/Krein/Prelude.lean	InfoGeometry.Krein.Prelude	1	1	0	13
0042	2026-02-22	lean/InfoGeometry/Fenchel.lean	InfoGeometry.Fenchel	1	1	0	13
0042	2026-02-22	lean/InfoGeometry/Architecture/SymmetricSpace.lean	InfoGeometry.Architecture.SymmetricSpace	3	0	0	13
0039	2026-02-25	lean/InfoGeometry/Potential.lean	InfoGeometry.Potential	1	1	0	10
0039	2026-02-25	lean/InfoGeometry/MaxEnt.lean	InfoGeometry.MaxEnt	1	1	0	10
0039	2026-02-25	lean/InfoGeometry/Degree.lean	InfoGeometry.Degree	1	1	0	10
0039	2026-02-25	lean/InfoGeometry/Convex.lean	InfoGeometry.Convex	1	1	0	10
0034	2026-02-21	lean/InfoGeometry/ExponentialFamily/Legendre.lean	InfoGeometry.ExponentialFamily.Legendre	0	0	0	14
0034	2026-02-21	lean/InfoGeometry/Assumptions.lean	InfoGeometry.Assumptions	0	0	0	14
0033	2026-02-25	lean/InfoGeometry/ExponentialFamily/KLBregman.lean	InfoGeometry.ExponentialFamily.KLBregman	1	0	0	10
0033	2026-02-22	lean/InfoGeometry/ExponentialFamily/Analytic/Softmax.lean	InfoGeometry.ExponentialFamily.Analytic.Softmax	0	0	0	13
0030	2026-02-25	lean/InfoGeometry/ExponentialFamily.lean	InfoGeometry.ExponentialFamily	0	0	0	10
