score10	date	path	module	total_importers	canonical_importers	in_canonical_all	days_stale
0227	2026-03-06	lean/InfoGeometry/Canonical/SpectralInference.lean	InfoGeometry.Canonical.SpectralInference	14	14	1	1
0190	2026-02-26	lean/InfoGeometry/Canonical/Drazin.lean	InfoGeometry.Canonical.Drazin	9	9	1	9
0184	2026-02-26	lean/InfoGeometry/Canonical/RicciMongeAmpere.lean	InfoGeometry.Canonical.RicciMongeAmpere	9	8	1	9
0184	2026-02-26	lean/InfoGeometry/Canonical/MoorePenrose.lean	InfoGeometry.Canonical.MoorePenrose	9	8	1	9
0181	2026-02-26	lean/InfoGeometry/Canonical/ConformalUnification.lean	InfoGeometry.Canonical.ConformalUnification	8	8	1	9
0163	2026-02-26	lean/InfoGeometry/Canonical/ChiralAnomaly.lean	InfoGeometry.Canonical.ChiralAnomaly	6	6	1	9
0158	2026-02-26	lean/InfoGeometry/Convex/HessianGeometry.lean	InfoGeometry.Convex.HessianGeometry	13	10	0	9
0157	2026-02-26	lean/InfoGeometry/Canonical/GrandCanonicalExperts.lean	InfoGeometry.Canonical.GrandCanonicalExperts	6	5	1	9
0154	2026-02-26	lean/InfoGeometry/Canonical/KaehlerGeometry.lean	InfoGeometry.Canonical.KaehlerGeometry	5	5	1	9
0154	2026-02-26	lean/InfoGeometry/Canonical/InformationTorsion.lean	InfoGeometry.Canonical.InformationTorsion	5	5	1	9
0154	2026-02-26	lean/InfoGeometry/Canonical/Clifford.lean	InfoGeometry.Canonical.Clifford	5	5	1	9
0154	2026-02-26	lean/InfoGeometry/Canonical/BogoliubovFockSuper.lean	InfoGeometry.Canonical.BogoliubovFockSuper	5	5	1	9
0154	2026-02-26	lean/InfoGeometry/Canonical/AnomalyInflow.lean	InfoGeometry.Canonical.AnomalyInflow	5	5	1	9
0151	2026-02-26	lean/InfoGeometry/Canonical/Triality.lean	InfoGeometry.Canonical.Triality	8	3	1	9
0151	2026-02-26	lean/InfoGeometry/Canonical/QuantumInference.lean	InfoGeometry.Canonical.QuantumInference	6	4	1	9
0151	2026-02-26	lean/InfoGeometry/Canonical/Attention.lean	InfoGeometry.Canonical.Attention	6	4	1	9
0148	2026-02-26	lean/InfoGeometry/Canonical/GrandUnification.lean	InfoGeometry.Canonical.GrandUnification	5	4	1	9
0145	2026-02-26	lean/InfoGeometry/Canonical/RGFlow.lean	InfoGeometry.Canonical.RGFlow	4	4	1	9
0145	2026-02-26	lean/InfoGeometry/Canonical/PathIntegral.lean	InfoGeometry.Canonical.PathIntegral	4	4	1	9
0145	2026-02-26	lean/InfoGeometry/Canonical/KMSSinkhornBridge.lean	InfoGeometry.Canonical.KMSSinkhornBridge	4	4	1	9
0145	2026-02-26	lean/InfoGeometry/Canonical/HeatKernel.lean	InfoGeometry.Canonical.HeatKernel	4	4	1	9
0145	2026-02-26	lean/InfoGeometry/Canonical/CayleyBregmanBridge.lean	InfoGeometry.Canonical.CayleyBregmanBridge	4	4	1	9
0139	2026-02-26	lean/InfoGeometry/Canonical/FormalScaffold.lean	InfoGeometry.Canonical.FormalScaffold	4	3	1	9
0139	2026-02-26	lean/InfoGeometry/Canonical/AttentionSplit.lean	InfoGeometry.Canonical.AttentionSplit	4	3	1	9
0137	2026-03-06	lean/InfoGeometry/Canonical/Krein.lean	InfoGeometry.Canonical.Krein	4	4	1	1
0136	2026-02-26	lean/InfoGeometry/Canonical/TopologicalInvariants.lean	InfoGeometry.Canonical.TopologicalInvariants	3	3	1	9
0136	2026-02-26	lean/InfoGeometry/Canonical/TomitaTakesaki.lean	InfoGeometry.Canonical.TomitaTakesaki	3	3	1	9
0136	2026-02-26	lean/InfoGeometry/Canonical/SuperInference.lean	InfoGeometry.Canonical.SuperInference	3	3	1	9
0136	2026-02-26	lean/InfoGeometry/Canonical/HolographicEmergence.lean	InfoGeometry.Canonical.HolographicEmergence	3	3	1	9
0136	2026-02-26	lean/InfoGeometry/Canonical/GaugeUnified.lean	InfoGeometry.Canonical.GaugeUnified	3	3	1	9
0136	2026-02-26	lean/InfoGeometry/Canonical/ChiralEinsteinBridge.lean	InfoGeometry.Canonical.ChiralEinsteinBridge	3	3	1	9
0136	2026-02-26	lean/InfoGeometry/Canonical/ChiralCliffordBridge.lean	InfoGeometry.Canonical.ChiralCliffordBridge	3	3	1	9
0136	2026-02-26	lean/InfoGeometry/Canonical/BottDirac.lean	InfoGeometry.Canonical.BottDirac	3	3	1	9
0135	2026-02-27	lean/InfoGeometry/Canonical/ChiralTorsionBridge.lean	InfoGeometry.Canonical.ChiralTorsionBridge	3	3	1	8
0130	2026-02-26	lean/InfoGeometry/Canonical/WeylInformationGauge.lean	InfoGeometry.Canonical.WeylInformationGauge	3	2	1	9
0130	2026-02-26	lean/InfoGeometry/Canonical/PerelmanW.lean	InfoGeometry.Canonical.PerelmanW	3	2	1	9
0130	2026-02-26	lean/InfoGeometry/Canonical/AttentionEuclidean.lean	InfoGeometry.Canonical.AttentionEuclidean	3	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/QFTTDFTLaunchpad.lean	InfoGeometry.Canonical.QFTTDFTLaunchpad	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/MixtureOfExperts.lean	InfoGeometry.Canonical.MixtureOfExperts	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/InformationNumber.lean	InfoGeometry.Canonical.InformationNumber	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/GrandSynthesis.lean	InfoGeometry.Canonical.GrandSynthesis	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/Geometry.lean	InfoGeometry.Canonical.Geometry	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/CurvatureRGFlow.lean	InfoGeometry.Canonical.CurvatureRGFlow	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/ConformalAlgebra.lean	InfoGeometry.Canonical.ConformalAlgebra	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/CliffordBridge.lean	InfoGeometry.Canonical.CliffordBridge	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/ChiralRGFlow.lean	InfoGeometry.Canonical.ChiralRGFlow	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/ChiralGravity.lean	InfoGeometry.Canonical.ChiralGravity	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/CartanDecomposition.lean	InfoGeometry.Canonical.CartanDecomposition	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/CalabiYauBridge.lean	InfoGeometry.Canonical.CalabiYauBridge	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/BerryPhase.lean	InfoGeometry.Canonical.BerryPhase	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/BeliefDynamics.lean	InfoGeometry.Canonical.BeliefDynamics	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/BeliefAlgebra.lean	InfoGeometry.Canonical.BeliefAlgebra	2	2	1	9
0127	2026-02-26	lean/InfoGeometry/Canonical/AnalyticalIndex.lean	InfoGeometry.Canonical.AnalyticalIndex	2	2	1	9
0121	2026-02-26	lean/InfoGeometry/Canonical/LorentzianRouting.lean	InfoGeometry.Canonical.LorentzianRouting	2	1	1	9
0118	2026-02-26	lean/InfoGeometry/Canonical/Twistor.lean	InfoGeometry.Canonical.Twistor	1	1	1	9
0118	2026-02-26	lean/InfoGeometry/Canonical/TopologicalEuler.lean	InfoGeometry.Canonical.TopologicalEuler	1	1	1	9
0118	2026-02-26	lean/InfoGeometry/Canonical/Rosetta.lean	InfoGeometry.Canonical.Rosetta	1	1	1	9
0118	2026-02-26	lean/InfoGeometry/Canonical/Quantum.lean	InfoGeometry.Canonical.Quantum	1	1	1	9
0118	2026-02-26	lean/InfoGeometry/Canonical/Prequantum.lean	InfoGeometry.Canonical.Prequantum	1	1	1	9
0118	2026-02-26	lean/InfoGeometry/Canonical/GrandUnificationMetric.lean	InfoGeometry.Canonical.GrandUnificationMetric	1	1	1	9
